playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
hajime-hosogai,177.0,69.0,192,84,39,69,10,31,0,0,0.3454206408669695,5492.532467532467,0.0007051696646849931,0.38087206164620013,5700.467532467533,0.004252751616059645,4,11,2,0,319
hanno-balitsch,182.0,80.0,455,181,103,171,24,104,1,0,0.34026873693021803,27133.673267326732,0.0005203527738390801,0.3888486946865902,27940.89108910891,0.002313392581092632,4,0,2,0,320
haris-vuckic,187.0,80.0,59,26,15,18,9,5,0,0,0.3372438007309237,31104.62962962963,0.0002876348253237094,0.4234887911997716,32575.222222222223,0.0014706111952524205,12,53,0,0,321
harry-kane,183.0,65.0,102,44,28,30,26,3,1,0,0.3377651278070853,31299.07894736842,0.0009780032606924213,0.4394466287830361,32778.82894736842,0.005201570215625898,12,54,0,0,322
harry-novillo,182.0,80.0,29,4,11,14,3,1,0,0,0.33807402918042584,2695.9,0.00019200153567722162,0.3546633604692043,2816.0,0.000796921802040022,12,57,1,1,322
hassan-yebda,187.0,80.0,168,70,36,62,8,35,1,0,0.3532467409690936,7965.304761904762,0.0019954092966067032,0.4528369084852565,8349.504761904762,0.008947837605973306,3,37,3,0,323
hatem-ben-arfa,177.0,69.0,261,123,64,74,39,15,0,1,0.34859928513773164,10724.4578313253,0.0037556132829071704,0.48597816794773413,11222.084337349397,0.014157075723959986,7,53,0,0,324
havard-nordtveit,188.0,85.0,184,72,46,66,7,17,1,0,0.3504093012504726,8874.162162162162,0.0002865677590496553,0.49356876592835863,9250.783783783783,0.001386317200416369,4,15,2,0,325
hector-moreno,184.0,80.0,302,130,76,96,16,65,0,3,0.35117888045153467,118952.61538461539,0.0006185754061800149,0.5010607234097096,122248.32692307692,0.00314186866485235,1,26,3,0,326
hedwiges-maduro,183.0,84.0,265,140,57,68,15,42,3,0,0.35827452292963957,23848.420560747665,0.0004324816655537842,0.5389092822102323,24592.89719626168,0.002107354569793468,4,75,3,0,327
heiko-butscher,189.0,86.0,276,119,54,103,25,15,0,1,0.3366281626427214,7749.0,5.454025113076385e-05,0.3359668924003006,7974.0,0.0002250616365790172,1,25,2,0,328
heiko-westermann,190.0,87.0,451,194,101,156,41,44,0,0,0.3421225857313641,28050.021276595744,0.00017629309515242926,0.40206922133709977,28867.489361702126,0.0007481640116647771,1,38,2,0,328
heinrich-schmidtgal,174.0,78.0,228,99,56,73,24,37,2,0,0.34003817742117554,7470.282051282052,0.00012730645757853826,0.37272757065737894,7695.307692307692,0.0006003629156008656,6,77,2,0,329
heinz-mueller,196.0,94.0,180,60,52,68,0,11,0,1,0.33353740803887383,24201.43181818182,0.00011737915297253964,0.3677104202677727,25279.18181818182,0.0005893880330992639,5,1,2,0,330
helder-postiga,182.0,74.0,394,172,95,127,96,58,2,1,0.35942928080283354,17767.710382513662,0.000409456459493222,0.5411026907680373,18388.087431693988,0.0019452265945989636,2,70,3,0,331
henri-bedimo,180.0,77.0,248,91,65,92,5,41,1,0,0.3310522537457359,28036.35,0.001699538197792632,0.3641519338260307,28864.65,0.007607131863023736,6,51,1,1,332
henri-saivet,174.0,73.0,146,59,51,36,20,1,0,0,0.3419517468914811,3263.185185185185,0.0005393269741836306,0.4157508838805579,3419.6481481481483,0.0026787847740486754,11,36,1,1,332
henrique,188.0,87.0,184,79,53,52,12,46,1,1,0.3438758365827899,4934.0,0.00029598850113012157,0.4279462156595338,5162.142857142857,0.0013065085666066098,1,36,1,1,333
heung-min-son,183.0,76.0,161,68,27,66,44,8,0,0,0.3419158361601761,7009.725806451613,0.0004926820218125917,0.3864604624122388,7254.451612903225,0.0027124194678383186,11,38,2,0,334
hilario,189.0,85.0,53,31,9,13,0,2,0,0,0.34566474824685,24287.114285714284,0.00037282242955997855,0.47879114552400553,25433.285714285714,0.002000996822041222,5,21,0,0,335
hilton,182.0,73.0,345,146,105,94,19,37,0,4,0.34652170098948665,27041.373626373625,0.0003880755325271884,0.45692189930645044,27874.076923076922,0.001889032682271657,1,51,1,0,336
hiroki-sakai,184.0,70.0,114,56,21,37,4,21,0,0,0.3406459853501477,38555.72881355932,0.0009737316195887636,0.3469701852668408,39662.338983050846,0.006062995156366118,12,39,2,0,337
holger-badstuber,190.0,83.0,242,142,52,48,11,37,1,1,0.3437954264719067,8165.505617977528,0.00023706837045082193,0.43393890758104287,8474.887640449439,0.0011850653463345926,1,12,2,0,338
hrvoje-cale,184.0,74.0,129,61,38,30,1,36,0,1,0.359065829137654,3659.58,0.0003800258026097271,0.4308396540299983,3823.54,0.0017278850594031265,6,90,2,0,339
hugo-fraile,176.0,73.0,28,9,13,6,2,8,0,0,0.36989359418717194,1785.0,0.00022948964086646405,0.5882973115445439,1897.0,0.00100164730649311,12,35,3,0,340
hugo-lloris,186.0,73.0,395,182,116,97,0,6,0,2,0.34620021469326545,27807.20909090909,0.0004697178650051007,0.45161801676562763,28757.98181818182,0.002204079281948901,5,83,0,0,340
hugo-mallo,173.0,69.0,158,68,38,52,1,43,2,2,0.36798447498709713,41288.333333333336,0.00031853360720785,0.6003992594800587,42484.35294117647,0.0015170773607604774,9,20,3,0,340
iago-aspas,176.0,67.0,161,68,40,53,47,27,3,1,0.36197287726942295,9669.433333333332,0.0001891836293559582,0.5457911575129903,10150.483333333334,0.0008247733415039525,12,20,3,0,341
iago-falque,173.0,67.0,103,45,15,43,17,12,0,0,0.3660527585643084,5001.535714285715,0.00037462434097954364,0.5884834586835498,5250.589285714285,0.0017234271683464512,7,83,0,0,341
ian-harte,177.0,78.0,524,231,119,174,78,48,0,2,0.34037577052383783,28344.129943502823,0.00019929001522718502,0.42942378360183775,29687.870056497177,0.000777494798796589,12,63,0,0,342
ibai,177.0,72.0,102,34,25,43,15,5,0,0,0.36216636229581967,5760.891891891892,0.000292282043387064,0.5578701847511991,6040.540540540541,0.0013418628331549993,8,9,3,0,343
ibrahima-traore,172.0,62.0,223,94,50,79,32,27,1,2,0.33367048418057726,7495.78125,0.002596213060243518,0.3551401362377488,7744.677083333333,0.009651733926166695,7,89,2,1,344
idrissa-gueye,174.0,64.0,128,62,40,26,2,19,0,1,0.32837294084361407,2856.7708333333335,0.0022490442326886305,0.34443094942411734,2986.875,0.013467974530111684,4,44,1,1,345
ignasi-miquel,193.0,85.0,31,19,1,11,2,2,0,0,0.3320194417434877,38387.22222222222,6.402491822842463e-05,0.3871208857890422,40208.555555555555,0.00027547034957714164,1,6,0,0,346
igor-martinez,170.0,65.0,77,23,20,34,6,5,0,0,0.3687462835499995,1854.3829787234042,0.00022670064213497367,0.5822389669247705,1966.4255319148936,0.0009950728320978455,0,9,3,0,347
iker-casillas,185.0,84.0,800,525,136,139,0,23,1,1,0.3546370961641529,28091.05202312139,0.0008049919536617555,0.5307782315451162,28955.179190751445,0.004337019493928305,5,66,3,0,348
ilan,180.0,69.0,274,94,71,109,75,21,1,3,0.3417032611620417,7196.8,0.00041777812714544646,0.4217477180149201,7522.346666666666,0.002128177005009597,11,71,1,0,349
ilir-azemi,191.0,91.0,145,58,32,55,51,14,0,1,0.3366281626427214,7749.0,5.454025113076388e-05,0.3359668924003006,7974.0,0.0002250616365790172,2,77,2,0,350
immanuel-hoehn,183.0,72.0,119,52,26,41,6,14,2,0,0.33791667967719663,7558.410256410257,7.411418191930486e-05,0.3526515414900394,7781.782051282052,0.0003356555734720566,1,72,2,0,351
iniesta,170.0,65.0,574,400,106,68,58,47,0,0,0.3540915031797846,33397.75555555556,0.001948364220595206,0.5569975740003639,34380.17037037037,0.006628726935175192,7,29,3,0,352
inigo-lopez,185.0,72.0,108,43,27,38,9,25,0,1,0.36663093479976416,1704.525,0.0002545863443765699,0.573875013178703,1810.975,0.0011287605164781468,12,37,3,0,353
